země,nominace,vítězství
Francie,39,12
Itálie,31,13
Španělsko,19,4
Německo,18,3
Japonsko,15,4
Švédsko,14,3
Dánsko,10,3
Izrael,10,0
Polsko,9,0
Sovětský svaz,9,3
Maďarsko,8,1
Mexiko,8,0
Belgie,7,0
Kanada,7,1
Nizozemí,7,3
Argentina,6,2
Československo,6,2
Jugoslávie,6,0
Alžírsko,5,1
Norsko,5,0
Rusko,5,1
Řecko,5,0
Švýcarsko,5,2
Brazílie,4,0
Rakousko,4,2
Česká republika,3,1
Indie,3,0
Tchaj-wan,3,1
Británie,2,0
Čína,2,0
Hongkong,2,0
Írán,2,1
Jižní Afrika,2,1
Palestina,2,0
Bosna a Hercegovina,1,1
cena neudělena,1,0
Finsko,1,0
Gruzie,1,0
Chile,1,0
Island,1,0
Kambodža,1,0
Kazachstán,1,0
Kuba,1,0
Makedonie,1,0
Nepál,1,0
Nikaragua,1,0
Peru,1,0
Pobřeží slonoviny,1,1
Portoriko,1,0
Uruguay,1,0
Vietnam,1,0