Film,Rozpočet,Rozpočet se započtením inflace
2012: Argo,44500000,45151818
2011: Umělec,15000000,15534678
2010: Králova řeč,15000000,16025035
2009: Smrt čeká všude,15000000,16287890
2008: Milionář z chatrče,15000000,16229941
2007: Tahle země není pro starý,25000000,28094187
2006: Skrytá identita,90000000,103998661
2005: Crash,6500000,7753305
2004: Million Dollar Baby,30000000,36996877
2003: Pán prstenů: Návrat krále,94000000,119010641
2002: Chicago,45000000,58271623
2001: Čistá duše,60000000,78923885
2000: Gladiátor,103000000,139341295
1999: Americká krása,15000000,20974520
1998: Zamilovaný Shakespeare,25000000,35729601
1997: Titanic,200000000,290289097
1996: Anglický pacient,27000000,40088203
1995: Statečné srdce,72000000,110058425
1994: Forrest Gump,55000000,86455027
1993: Schindlerův seznam,22000000,35467502
1992: Nesmiřitelní,14400000,23910056
1991: Mlčení jehňátek,19000000,32497673
1990: Tanec s vlky,19000000,33865210
1989: Řidič slečny Daisy,7500000,14090141
1988: Rain Man,25000000,49230135
1987: Poslední císař,23000000,47165590
1986: Četa,6000000,12753120
1985: Vzpomínky na Afriku,31000000,67115864
1984: Amadeus,18000000,40358287
1983: Cena za něžnost,8000000,18711406
1982: Gándhí,22000000,53109368
1981: Ohnivé vozy,5500000,14095308
1980: Obyčejní lidé,6000000,16962888
1979: Kramerová versus Kramer,8000000,25670193
1978: Lovec jelenů,15000000,53594402
1977: Annie Hallová,4000000,15376700
1976: Rocky,1100000,4503562
1975: Přelet nad kukaččím hnízdem,4400000,19052245
1974: Kmotr II,13000000,61428824
1973: Podraz,5500000,28857286
1972: Kmotr,6000000,33438804
1971: Francouzská spojka,1800000,10353644
1970: Generál Patton,12000000,72048557
1969: Půlnoční kovboj,3600000,22851368
1968: Oliver!,10000000,66941667
1967: V žáru noci,2000000,13949521
1966: Člověk pro každé počasí,2000000,14380062
1965: Za zvuků hudby,8200000,60642775
1964: My Fair Lady,17000000,127750613
1963: Tom Jones,1000000,7612974
1962: Lawrence z Arábie,15000000,115707119
1961: West Side Story,6000000,46747224
1960: Byt,3000000,23610507
1959: Ben Hur,15900000,127285784
1958: Gigi,3319355,26756643
1957: Most přes řeku Kwai,3000000,24870854
1956: Cesta kolem světa za 80 dní,6000000,51387574
1955: Marty,343000,2981502
1954: V přístavu,910000,7880701
1953: Odtud až na věčnost,1650000,14396219
1952: Největší představení na světě,4000000,35163321
1951: Američan v Paříži,2723903,24405857
1950: Vše o Evě,1400000,13532772
1949: Všichni královi muži,není k dispozici,není k dispozici
1948: Hamlet,2125937,20549872
1947: Džentlemanská dohoda,2000000,20893004
1946: Nejlepší léta našeho života,2100000,25087677
1945: Ztracený víkend,1250000,16177569
1944: Farář u svatého Dominika,není k dispozici,není k dispozici
1943: Paní Miniverová,1344000,18097931
1942: Casablanca,950000,13577248
1941: Bylo jednou zelené údolí,1250000,19809269
1940: Mrtvá a živá,1288000,21432044
1939: Jih proti Severu,3977000,66652517
1938: Vždyť jsme jen jednou na světě,1644736,27173955
1937: Život Emila Zoly,700000,11324299
1936: Velký Ziegfeld,2183000,36585981
1935: Vzpoura na lodi Bounty,1950000,33158113
1934: Stalo se jedné noci,325000,5650076
1933: Cavalcade,1180280,21150345
1932: Lidé v hotelu,700000,11902912
1931: Cimarron,1433000,21962328
1930: Na západní frontě klid,1448864,20210959
1929: Melodie  Broadwaye,379000,5163199
1928: Křídla,2000000,27246433
1927: Východ slunce,není k dispozici,není k dispozici